api_well_number,county,company_name,api_hole_number,sidetrack_code,completion_code,well_type_code,production_field,well_status_code,well_name,town,producing_formation,months_in_production,gas_produced_mcf,water_produced_bbl,oil_produced_bbl,reporting_year,new_georeferenced_column
31013154510000,Chautauqua,"Samuelson, Philip A.",15451,00,00,OW,Ellery,NR,Samuelson Phil 1,Ellery,Bass Island,12,151.0,0.0,0.0,2012,"Ellery, NY
(42.159868, -79.393216)"
31003657260000,Allegany,Pine Oil Co.,65726,00,00,IW,Richburg,NR,Pine Oil 139,Genesee,Richburg,0,0.0,0.0,0.0,2012,"Genesee, NY
(42.02693, -78.205893)"
31013147700000,Chautauqua,"Eclipse Energy Company, LLC",14770,00,00,GD,Lakeshore,AC,Balling 3156,North Harmony,Medina,12,4481.0,96.0,0.0,2012,"North Harmony, NY
(42.094296, -79.374999)"
31009664140000,Cattaraugus,M. J. McCaffery Oil Co.,66414,00,00,OD,Chipmunk,NR,Hill 16,Carrollton,Chipmunk,1,0.0,5.0,5.0,2012,"Carrollton, NY
(42.023289, -78.628438)"
31121172950000,Wyoming,"Kingsley, Craig",17295,00,00,GD,Leicester,NR,"Kinsley, E 1",Covington,Medina,12,1.0,0.0,0.0,2012,"Covington, NY
(42.853421, -78.010388)"
31013220980000,Chautauqua,"James, Frederick H.",22098,00,00,GD,Lakeshore,SI,"James, F 1",Harmony,Medina,2,1.0,0.0,0.0,2012,"Harmony, NY
(42.074924, -79.486378)"
31009646800000,Cattaraugus,"Kellner, Christian F.",64680,00,00,OD,Bradford,NR,Utter Purchase 48,Allegany,Bradford,3,0.0,1.0,2.0,2012,"Allegany, NY
(42.088061, -78.491258)"
31009665850000,Cattaraugus,"Cramer, Carol A.",66585,00,00,OD,Chipmunk,SI,Sutter 4a (3),Allegany,Chipmunk,0,0.0,0.0,0.0,2012,"Allegany, NY
(42.088061, -78.491258)"
31003608110000,Allegany,James V. Joyce/DBA Pipeline Co.,60811,00,00,GD,Andover,NR,Livermore 8,Andover,Penny,0,0.0,0.0,0.0,2012,"Andover, NY
(42.156405, -77.795231)"
31009664110000,Cattaraugus,M. J. McCaffery Oil Co.,66411,00,00,OD,Chipmunk,NR,Hill 13,Carrollton,Chipmunk,1,0.0,5.0,5.0,2012,"Carrollton, NY
(42.023289, -78.628438)"
31013143460000,Chautauqua,"Eclipse Energy Company, LLC",14346,00,00,GD,Lakeshore,IN,Franks 3112,Westfield,Medina,12,0.0,0.0,0.0,2012,"Westfield, NY
(42.324884, -79.573821)"
31003656880000,Allegany,Pine Oil Co.,65688,00,00,OD,Richburg,NR,Pine Oil 33,Genesee,Richburg,0,0.0,0.0,0.0,2012,"Genesee, NY
(42.02693, -78.205893)"
31009669340000,Cattaraugus,"Campbell, Philip Brian",66934,00,00,OD,Bradford,PA,Dutka 4,Carrollton,Bradford,0,0.0,0.0,0.0,2012,"Carrollton, NY
(42.023289, -78.628438)"
31003558540000,Allegany,"Smith, Daniel E. Jr.",55854,00,00,OD,Clarksville,NR,Smith 003,Clarksville,,0,0.0,0.0,0.0,2012,"Clarksville, NY
(42.575802, -73.964401)"
31003657020000,Allegany,Pine Oil Co.,65702,00,00,IW,Richburg,NR,Pine Oil 115,Genesee,Richburg,0,0.0,0.0,0.0,2012,"Genesee, NY
(42.02693, -78.205893)"
31009666020000,Cattaraugus,"Cramer, Carol A.",66602,00,00,OD,Chipmunk,AC,Sutter 33,Allegany,Chipmunk,0,0.0,0.0,0.0,2012,"Allegany, NY
(42.088061, -78.491258)"
31013139580000,Chautauqua,"GH Graf Realty Corp., Inc.",13958,00,00,GD,Lakeshore,NR,Holy Cross 1,Dunkirk,Medina,0,0.0,0.0,0.0,2012,"Dunkirk, NY
(42.481338, -79.333958)"
31013137530000,Chautauqua,"Eclipse Energy Company, LLC",13753,00,00,GD,Lakeshore,AC,Bielat 1021,Dunkirk,Medina,12,1260.0,0.0,0.0,2012,"Dunkirk, NY
(42.481338, -79.333958)"
